"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"18",NA,37,2,31,NA,50,NA,50,NA,47,NA,55,NA,55,NA,43,NA,33,NA,38,NA,36,NA,40,NA,NA,NA
"19",NA,38,NA,33,3,51,3,51,NA,48,NA,56,NA,56,NA,44,NA,37,NA,40,NA,37,NA,41,NA,NA,NA
"20",NA,39,NA,34,NA,52,NA,52,NA,49,NA,57,NA,57,NA,45,NA,40,NA,41,NA,38,NA,43,NA,NA,NA
"21",NA,40,NA,35,NA,53,NA,53,3,51,NA,58,NA,58,NA,46,NA,43,NA,43,NA,40,NA,49,NA,NA,NA
"22",NA,41,NA,37,NA,54,NA,54,NA,52,NA,59,NA,59,NA,48,NA,44,NA,44,NA,41,NA,50,NA,NA,NA
"23",NA,42,NA,40,NA,55,NA,55,NA,53,NA,60,NA,60,NA,50,NA,45,NA,45,NA,43,3,51,NA,NA,NA
"24",NA,43,NA,41,NA,56,NA,56,NA,54,4,61,4,61,3,51,NA,46,NA,49,NA,44,NA,52,NA,NA,NA
"25",NA,44,NA,43,NA,57,NA,57,NA,55,NA,62,NA,62,NA,52,NA,50,NA,50,NA,45,NA,53,NA,NA,NA
"26",NA,45,NA,44,NA,58,NA,58,NA,56,NA,63,NA,63,NA,53,3,51,3,51,NA,49,NA,54,NA,NA,NA
"27",NA,48,NA,45,NA,59,NA,59,NA,57,NA,64,NA,64,NA,54,NA,52,NA,52,NA,50,NA,55,NA,NA,NA
"28",NA,49,NA,50,NA,60,NA,60,NA,58,NA,65,NA,65,NA,55,NA,53,NA,53,3,51,NA,56,NA,NA,NA
"29",NA,50,3,51,NA,73,NA,73,NA,59,NA,71,NA,71,NA,56,NA,54,NA,54,NA,52,NA,57,NA,NA,NA
"30",3,51,NA,52,4,61,4,61,NA,60,NA,78,NA,78,NA,57,NA,55,NA,55,NA,53,NA,58,NA,NA,NA
"31",NA,52,NA,53,NA,62,NA,62,4,61,5,72,5,72,NA,58,NA,56,NA,56,NA,54,NA,59,NA,NA,NA
